natural_key,date,time,province,temp,cloud_description,min_temp,max_temp,humidity,vision,wind_spd,uv_index,atmosphere_quality
HAGIANG121020222059,12/10/2022,20:59,Hà Giang,22,Nhiều mây Cảm giác như 22°.,17,30,0.82,10 km,0.29 ,0,Kém
HAGIANG121020222100,12/10/2022,21:00,Hà Giang,null,Nhiều mây,22,22,0.82,10 km,0.29 ,0
HAGIANG121020222200,12/10/2022,22:00,Hà Giang,null,Nhiều mây,22,22,0.83,10 km,0.55 ,0
HAGIANG121020222300,12/10/2022,23:00,Hà Giang,null,Nhiều mây,22,22,0.84,10 km,0.42 ,0
HAGIANG131020220100,13/10/2022,01:00,Hà Giang,null,Nhiều mây,17,30,0.86,10 km,0.13 ,null
HAGIANG131020220400,13/10/2022,04:00,Hà Giang,null,Nhiều mây,17,30,0.87,10 km,0.46 ,null
HAGIANG131020220700,13/10/2022,07:00,Hà Giang,null,Nhiều mây,17,30,0.85,10 km,0.21 ,null
HAGIANG131020221000,13/10/2022,10:00,Hà Giang,null,Mây rải rác,17,30,0.56,10 km,0.95 ,null
HAGIANG131020221300,13/10/2022,13:00,Hà Giang,null,Mây rải rác,17,30,0.47,10 km,1.03 ,null
HAGIANG131020221600,13/10/2022,16:00,Hà Giang,null,Mây cụm,17,30,0.58,10 km,0.29 ,null
HAGIANG131020221900,13/10/2022,19:00,Hà Giang,null,Mây cụm,17,30,0.72,10 km,0.05 ,null
HAGIANG131020222200,13/10/2022,22:00,Hà Giang,null,Mây cụm,17,30,0.82,10 km,0.5 ,null
CAOBANG121020222059,12/10/2022,20:59,Cao Bằng,18,Mây cụm Cảm giác như 18°.,16,29,0.66,10 km,1.26 ,0,Rất kém
CAOBANG121020222100,12/10/2022,21:00,Cao Bằng,null,Mây cụm,18,18,0.66,10 km,1.26 ,0
CAOBANG121020222200,12/10/2022,22:00,Cao Bằng,null,Mây cụm,18,18,0.67,10 km,1.26 ,0
CAOBANG121020222300,12/10/2022,23:00,Cao Bằng,null,Mây cụm,18,18,0.67,10 km,1.17 ,0
CAOBANG131020220100,13/10/2022,01:00,Cao Bằng,null,Mây cụm,16,29,0.67,10 km,1.27 ,null
CAOBANG131020220400,13/10/2022,04:00,Cao Bằng,null,Mây rải rác,16,29,0.67,10 km,1.33 ,null
